"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","method","metric.goal","metric.name","neurons_FC1","neurons_FC2","optimizer","parameters.batch_sizes","parameters.learning_rates","parameters.neurons_FC1s","parameters.neurons_FC2s","parameters.optimizers","epoch","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","trainer/global_step","val_acc","val_loss"
"eager-sweep-10","finished","-","","","2024-10-15T14:18:17.000Z","253","01o9sl2y","32","0.0001","","","","256","64","adam","","","","","","9","0.624822199344635","0.53125","1.0936416387557983","1.2833858728408811","14069","0.5264000296592712","1.376872420310974"
"scarlet-sweep-9","finished","-","","","2024-10-15T14:14:54.000Z","200","01o9sl2y","64","0.0005","","","","128","32","adamw","","","","","","9","0.6257777810096741","0.65625","1.0684728622436523","1.122431397438049","7039","0.5157999992370605","1.4019259214401243"
"glowing-sweep-8","finished","-","","","2024-10-15T14:11:31.000Z","197","01o9sl2y","64","0.001","","","","256","64","adam","","","","","","9","0.6757333278656006","0.65625","0.9109524488449096","1.003697156906128","7039","0.5230000019073486","1.4771264791488647"
"winter-sweep-7","finished","-","","","2024-10-15T14:07:22.000Z","247","01o9sl2y","32","0.001","","","","128","128","adamw","","","","","","9","0.6434000134468079","0.59375","0.9940736293792723","1.2579501867294312","14069","0.5034000277519226","1.5391223430633545"
"clear-sweep-6","finished","-","","","2024-10-15T14:03:08.000Z","250","01o9sl2y","32","0.001","","","","128","128","adamw","","","","","","9","0.6466444730758667","0.65625","0.9966958165168762","1.1229270696640017","14069","0.5189999938011169","1.4801578521728516"
"polished-sweep-5","finished","-","","","2024-10-15T13:58:54.000Z","249","01o9sl2y","32","0.001","","","","256","32","adamw","","","","","","9","0.6503111124038696","0.75","0.990107536315918","0.7776827216148376","14069","0.5134000182151794","1.4776533842086792"
"splendid-sweep-4","finished","-","","","2024-10-15T13:55:36.000Z","192","01o9sl2y","64","0.0005","","","","64","128","adamw","","","","","","9","0.6049110889434814","0.546875","1.1210044622421265","1.3082832098007202","7039","0.520799994468689","1.3886462450027466"
"ruby-sweep-3","finished","-","","","2024-10-15T13:51:37.000Z","237","01o9sl2y","32","0.0001","","","","256","64","sgd","","","","","","9","0.3885777890682221","0.28125","1.7348251342773438","1.9152363538742063","14069","0.3928000032901764","1.7105602025985718"
"elated-sweep-2","finished","-","","","2024-10-15T13:48:29.000Z","186","01o9sl2y","64","0.0005","","","","64","64","adamw","","","","","","9","0.5898000001907349","0.671875","1.1660162210464478","1.093114137649536","7039","0.5163999795913696","1.4112111330032349"
"stilted-sweep-1","finished","-","","","2024-10-15T13:45:17.000Z","188","01o9sl2y","64","0.001","","","","64","32","adam","","","","","","9","0.5907555818557739","0.640625","1.1607311964035034","1.169444561004639","7039","0.5095999836921692","1.440941572189331"